# See the README.table.md file in this folder for details about this data.

§		0	0	0	0	0	0	0	0	1		yyybs		0
°		0	0	0	0	0	0	0	0	1		yyycg		0
±		0	0	0	0	0	0	0	0	1		yyydb		0
×		0	0	0	0	0	0	0	0	1		yyybo		0
÷		0	0	0	0	0	0	0	0	1		yyyda		0
ˇ		0	0	0	0	0	0	0	0	1		yyyyn		0
ˊ		0	0	0	0	0	0	0	0	1		yyyym		0
ˋ		0	0	0	0	0	0	0	0	1		yyyyo		0
˙		0	0	0	0	0	0	0	0	1		yyyby		0
–		0	0	0	0	0	0	0	0	1	H	zxaw		0
—		0	0	0	0	0	0	0	0	1	H	zxay		0
‘		0	0	0	0	0	0	0	1	0		yyybu		0
‘		0	0	0	0	0	0	0	1	0		zxcr		0
’		0	0	0	0	0	0	0	1	0		yyybt		0
’		0	0	0	0	0	0	0	1	0		zxcs		0
“		0	0	0	0	0	0	0	1	0		yyybw		0
“		0	0	0	0	0	0	0	1	0		zxct		0
”		0	0	0	0	0	0	0	1	0		yyybv		0
”		0	0	0	0	0	0	0	1	0		zxcu		0
‥		0	0	0	0	0	0	0	1	0	H	zxam		0
…		0	0	0	0	0	0	0	1	0	H	yyych		0
…		0	0	0	0	0	0	0	1	0	H	zxal		0
′		0	0	0	0	0	0	0	0	1		zxcy		0
‵		0	0	0	0	0	0	0	0	1		zxcx		0
※		0	0	0	0	0	0	0	0	1		yyybp		0
℃		0	0	0	0	0	0	0	0	1		yyyce		0
℅		0	0	0	0	0	0	0	0	1		yyycb		0
℉		0	0	0	0	0	0	0	0	1		yyycf		0
Ⅱ		0	0	0	0	0	0	0	0	1		yyyga		0
Ⅲ		0	0	0	0	0	0	0	0	1		yyygb		0
Ⅳ		0	0	0	0	0	0	0	0	1		yyygc		0
Ⅵ		0	0	0	0	0	0	0	0	1		yyygd		0
Ⅶ		0	0	0	0	0	0	0	0	1		yyyge		0
Ⅷ		0	0	0	0	0	0	0	0	1		yyygf		0
Ⅸ		0	0	0	0	0	0	0	0	1		yyygg		0
←		0	0	0	0	0	0	0	0	1		yyyat		0
→		0	0	0	0	0	0	0	0	1		yyyas		0
↓		0	0	0	0	0	0	0	0	1		yyyau		0
↖		0	0	0	0	0	0	0	0	1		yyyax		0
↗		0	0	0	0	0	0	0	0	1		yyyav		0
↘		0	0	0	0	0	0	0	0	1		yyyaw		0
↙		0	0	0	0	0	0	0	0	1		yyyay		0
√		0	0	0	0	0	0	0	0	1		yyydf		0
∞		0	0	0	0	0	0	0	0	1		yyydh		0
∠		0	0	0	0	0	0	0	0	1		yyydn		0
∩		0	0	0	0	0	0	0	0	1		yyydm		0
∪		0	0	0	0	0	0	0	0	1		yyydl		0
∫		0	0	0	0	0	0	0	0	1		yyydp		0
∮		0	0	0	0	0	0	0	0	1		yyydq		0
∴		0	0	0	0	0	0	0	0	1		yyyds		0
∵		0	0	0	0	0	0	0	0	1		yyydr		0
≒		0	0	0	0	0	0	0	0	1		yyydi		0
≠		0	0	0	0	0	0	0	0	1		yyyde		0
≡		0	0	0	0	0	0	0	0	1		yyydj		0
≦		0	0	0	0	0	0	0	0	1		yyydc		0
≧		0	0	0	0	0	0	0	0	1		yyydd		0
⊕		0	0	0	0	0	0	0	0	1		yyyca		0
⊙		0	0	0	0	0	0	0	0	1		yyybm		0
⊿		0	0	0	0	0	0	0	0	1		yyydo		0
■		0	0	0	0	0	0	0	0	1		yyybh		0
□		0	0	0	0	0	0	0	0	1		yyybg		0
▲		0	0	0	0	0	0	0	0	1		yyybb		0
△		0	0	0	0	0	0	0	0	1		yyyba		0
▼		0	0	0	0	0	0	0	0	1		yyybd		0
▽		0	0	0	0	0	0	0	0	1		yyybc		0
◆		0	0	0	0	0	0	0	0	1		yyybf		0
◇		0	0	0	0	0	0	0	0	1		yyybe		0
○		0	0	0	0	0	0	0	0	1		xxr		0
○		0	0	0	0	0	0	0	0	1		xxxxx		0
○		0	0	0	0	0	0	0	0	1		yyybk		0
◎		0	0	0	0	0	0	0	0	1		yyybn		0
●		0	0	0	0	0	0	0	0	1		yyybl		0
★		0	0	0	0	0	0	0	0	1		yyybj		0
☆		0	0	0	0	0	0	0	0	1		yyybi		0
♀		0	0	0	0	0	0	0	0	1		yyybr		0
♂		0	0	0	0	0	0	0	0	1		yyybq		0
　		0	0	0	0	0	0	0	1	0		zxaa	 	0
、		0	0	0	0	0	0	0	1	0	H	zxac	,	3
。		0	0	0	0	0	0	0	1	0	H	zxad	.	2
〈		0	0	0	0	0	0	0	1	0	H	yyyae	'	6
〈		0	0	0	0	0	0	0	1	0	H	zxby	'	6
〉		0	0	0	0	0	0	0	1	0	H	yyyaf	'	5
〉		0	0	0	0	0	0	0	1	0	H	zxca	'	5
《		0	0	0	0	0	0	0	1	0	H	yyyag	"	6
《		0	0	0	0	0	0	0	1	0	H	zxbu	"	6
》		0	0	0	0	0	0	0	1	0	H	yyyah	"	5
》		0	0	0	0	0	0	0	1	0	H	zxbv	"	5
「		0	0	0	0	0	0	0	1	0	H	yyyaa	'	8
「		0	0	0	0	0	0	0	1	0	H	zxcd	'	8
」		0	0	0	0	0	0	0	1	0	H	yyyab	'	7
」		0	0	0	0	0	0	0	1	0	H	zxce	'	7
『		0	0	0	0	0	0	0	1	0	H	yyyac	"	8
『		0	0	0	0	0	0	0	1	0	H	zxch	"	8
』		0	0	0	0	0	0	0	1	0	H	yyyad	"	7
』		0	0	0	0	0	0	0	1	0	H	zxci	"	7
【		0	0	0	0	0	0	0	1	0	H	yyyam	(	3
【		0	0	0	0	0	0	0	1	0	H	zxbq	(	3
】		0	0	0	0	0	0	0	1	0	H	yyyan	)	3
】		0	0	0	0	0	0	0	1	0	H	zxbr	)	3
〔		0	0	0	0	0	0	0	1	0	H	zxbm	{	3
〕		0	0	0	0	0	0	0	1	0	H	zxbn	}	3
〝		0	0	0	0	0	0	0	1	0		zxcv		0
〞		0	0	0	0	0	0	0	1	0		zxcw		0
〡		0	0	0	0	0	0	0	0	1		yyygh		0
〢		0	0	0	0	0	0	0	0	1		yyygi		0
〣		0	0	0	0	0	0	0	0	1		yyygj		0
〥		0	0	0	0	0	0	0	0	1		yyygk		0
〦		0	0	0	0	0	0	0	0	1		yyygl		0
〧		0	0	0	0	0	0	0	0	1		yyygm		0
〨		0	0	0	0	0	0	0	0	1		yyygn		0
ぁ		0	0	0	0	0	1	0	0	0		zja		0
あ		0	0	0	0	0	1	0	0	0		zja		0
ぃ		0	0	0	0	0	1	0	0	0		zji		0
い		0	0	0	0	0	1	0	0	0		zji		0
ぅ		0	0	0	0	0	1	0	0	0		zju		0
う		0	0	0	0	0	1	0	0	0		zju		0
ぇ		0	0	0	0	0	1	0	0	0		zje		0
え		0	0	0	0	0	1	0	0	0		zje		0
ぉ		0	0	0	0	0	1	0	0	0		zjo		0
お		0	0	0	0	0	1	0	0	0		zjo		0
か		0	0	0	0	0	1	0	0	0		zjka		0
が		0	0	0	0	0	1	0	0	0		zjka		0
き		0	0	0	0	0	1	0	0	0		zjki		0
ぎ		0	0	0	0	0	1	0	0	0		zjki		0
く		0	0	0	0	0	1	0	0	0		zjku		0
ぐ		0	0	0	0	0	1	0	0	0		zjku		0
け		0	0	0	0	0	1	0	0	0		zjke		0
げ		0	0	0	0	0	1	0	0	0		zjke		0
こ		0	0	0	0	0	1	0	0	0		zjko		0
ご		0	0	0	0	0	1	0	0	0		zjko		0
さ		0	0	0	0	0	1	0	0	0		zjsa		0
ざ		0	0	0	0	0	1	0	0	0		zjsa		0
し		0	0	0	0	0	1	0	0	0		zjsi		0
じ		0	0	0	0	0	1	0	0	0		zjsi		0
す		0	0	0	0	0	1	0	0	0		zjsu		0
ず		0	0	0	0	0	1	0	0	0		zjsu		0
せ		0	0	0	0	0	1	0	0	0		zjse		0
ぜ		0	0	0	0	0	1	0	0	0		zjse		0
そ		0	0	0	0	0	1	0	0	0		zjso		0
ぞ		0	0	0	0	0	1	0	0	0		zjso		0
た		0	0	0	0	0	1	0	0	0		zjta		0
だ		0	0	0	0	0	1	0	0	0		zjta		0
ち		0	0	0	0	0	1	0	0	0		zjti		0
ぢ		0	0	0	0	0	1	0	0	0		zjti		0
っ		0	0	0	0	0	1	0	0	0		zjtu		0
つ		0	0	0	0	0	1	0	0	0		zjtu		0
づ		0	0	0	0	0	1	0	0	0		zjtu		0
て		0	0	0	0	0	1	0	0	0		zjte		0
で		0	0	0	0	0	1	0	0	0		zjte		0
と		0	0	0	0	0	1	0	0	0		zjto		0
ど		0	0	0	0	0	1	0	0	0		zjto		0
な		0	0	0	0	0	1	0	0	0		zjna		0
に		0	0	0	0	0	1	0	0	0		zjni		0
ぬ		0	0	0	0	0	1	0	0	0		zjnu		0
ね		0	0	0	0	0	1	0	0	0		zjne		0
の		0	0	0	0	0	1	0	0	0		zjno		0
は		0	0	0	0	0	1	0	0	0		zjha		0
ば		0	0	0	0	0	1	0	0	0		zjha		0
ぱ		0	0	0	0	0	1	0	0	0		zjha		0
ひ		0	0	0	0	0	1	0	0	0		zjhi		0
び		0	0	0	0	0	1	0	0	0		zjhi		0
ぴ		0	0	0	0	0	1	0	0	0		zjhi		0
ふ		0	0	0	0	0	1	0	0	0		zjhu		0
ぶ		0	0	0	0	0	1	0	0	0		zjhu		0
ぷ		0	0	0	0	0	1	0	0	0		zjhu		0
へ		0	0	0	0	0	1	0	0	0		zjhe		0
べ		0	0	0	0	0	1	0	0	0		zjhe		0
